npm verbose cli D:\Intern\ReOpSy\tools\node-v22.14.0-win-x64\node.exe D:\Intern\ReOpSy\tools\node-v22.14.0-win-x64\node_modules\npm\bin\npm-cli.js
npm info using npm@10.9.2
npm info using node@v22.14.0
npm verbose title npm install
npm verbose argv "install" "--no-audit" "--no-fund" "--loglevel" "verbose" "--force"
npm verbose logfile logs-max:10 dir:C:\Users\IIITA\AppData\Local\npm-cache\_logs\2026-07-31T13_55_01_083Z-
npm verbose logfile C:\Users\IIITA\AppData\Local\npm-cache\_logs\2026-07-31T13_55_01_083Z-debug-0.log
npm warn using --force Recommended protections disabled.
npm http fetch GET 200 https://registry.npmjs.org/@react-native-async-storage%2fasync-storage 685ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-native 105ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fjest-preset 496ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react 81ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@types%2freact 103ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fbottom-tabs 354ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fnative 320ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-native-safe-area-context 70ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-native-screens 71ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fnative-stack 461ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo 75ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fmetro-runtime 75ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-dom 99ms (cache revalidated)
npm http cache https://registry.npmjs.org/react 37ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/react-native-web 241ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-native-webview 61ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-clipboard 298ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-constants 310ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-haptics 70ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-linking 74ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-sharing 378ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-splash-screen 323ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-status-bar 65ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-system-ui 73ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-web-browser 312ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-native-gesture-handler 63ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@types%2fnode 97ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-preset-expo 320ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fruntime 75ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-widgets 75ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-refresh 79ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/typescript 99ms (cache revalidated)
npm http cache https://registry.npmjs.org/react-refresh 75ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/ws 144ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/promise 305ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/base64-js 310ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/merge-options 323ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/memoize-one 324ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/scheduler 344ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/tinyglobby 391ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/ansi-regex 400ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/anser 403ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/hermes-compiler 405ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/whatwg-fetch 408ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/metro-runtime 411ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/abort-controller 285ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/yargs 421ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/commander 432ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/metro-source-map 293ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/flow-enums-runtime 147ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/pretty-format 465ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-devtools-core 156ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/regenerator-runtime 169ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fcodegen 165ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/sf-symbols-typescript 147ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-syntax-hermes-parser 177ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/color 166ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fgradle-plugin 201ms (cache revalidated)
